CITY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Healdsburg,11309,11350,11392,11485,11613,11705,11806,11795,11845,11845,11346,11290,11171,11137
Hemet,79090,80226,81033,81718,82541,83305,84121,84809,85334,85334,89881,90708,91288,92368
Hercules,24147,24346,24571,24804,25038,25271,25416,25505,26276,26276,26117,26178,26174,26582
Hermosa Beach,19506,19570,19640,19674,19659,19688,19722,19590,19320,19320,19663,19228,18883,18641
Hesperia,90279,91168,91568,91777,92071,92653,93251,94473,95750,95750,99984,100463,100489,100633
Hidden Hills,1856,1869,1878,1891,1895,1908,1916,1910,1890,1890,1740,1723,1704,1685
Highland,53218,53671,53939,54150,54325,54553,54752,55198,55417,55417,57009,56926,56523,56202
Hillsborough Town,10859,11001,11131,11261,11379,11466,11490,11464,11387,11387,11363,11031,10896,10883
Hollister,34973,35304,35731,36184,36665,36960,37576,38377,40740,40740,41882,43364,44142,44658
Holtville,5961,6002,6007,6021,6251,6360,6418,6559,6621,6621,5597,5616,5605,5555
Hughson,6664,6714,6849,6988,7177,7319,7398,7467,7565,7565,7493,7524,7572,7683
Huntington Beach,191296,192995,194174,197107,199610,200653,200284,200938,199223,199223,198405,196427,194195,192129
Huntington Park,58125,58334,58524,58739,58908,58933,58701,58476,57509,57509,54701,53526,52591,51942
Huron,6752,6745,6754,6765,6779,6802,6924,7285,7281,7281,6405,6449,6424,6377
Imperial,14836,15190,15556,16111,16680,16943,17089,17432,18120,18120,20469,21163,21516,21591
Imperial Beach,26388,26617,26821,27031,27055,27259,27329,27278,27440,27440,26102,25907,25675,25458
Indian Wells,4982,5040,5088,5139,5193,5255,5324,5392,5470,5470,4783,4850,4856,4862
Indio,79665,81046,82250,83358,85127,86917,88196,89438,91765,91765,89320,90717,91672,93057
Industry,214,206,204,207,207,207,207,206,202,202,265,262,259,257
Inglewood,109658,110501,110866,110954,110840,110693,110271,109907,108151,108151,107393,105307,103847,102865
